,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert,build_script,use_cmake,use_configure,note,Unnamed:,14
7547,RemiHelleboid/BzMeshBandsDos,C++,git,https://github.com/RemiHelleboid/BzMeshBandsDos.git,11,5831985,0de85b3a74df383f150a979502e76c8532f2d9bb,,RS,autofail.sh,,,Autobuild,Fail,
6621,avr-aics-riken/PMlib,C++,git,https://github.com/avr-aics-riken/PMlib.git,11,05.05.8038,0a9a2f434dffbf1db41cf5b69b57a81cd8c534be,,RS,autofail.sh,,,Autobuild,Fail,
451,kamilmysliwiec/travelling-salesman-problem,C++,git,https://github.com/kamilmysliwiec/travelling-salesman-problem.git,10,03.05.3193,1061d023d0cae1286fd1119290c2258e8467502c,,RS,autofail.sh,,,Autobuild,Fail,
582,yeephycho/OpenCV_based_JuliaSet_Implementation,C++,git,https://github.com/yeephycho/OpenCV_based_JuliaSet_Implementation.git,10,-747617,eb1b8abcfbef3615ebfb022a52dd66fa1cf5b92e,,RS,autofail.sh,,,Autobuild,Fail,
3857,soumyasen1809/Programming-for-Numerical-Computation,C,git,https://github.com/soumyasen1809/Programming-for-Numerical-Computation.git,10,-9038015,f315f133db9056bd81b55017e84c0ddd9f8332d4,,RS,autofail.sh,,,Autobuild,Fail,
4782,estsaon/parallel-programming-in-c-with-mpi-and-openmp,C,git,https://github.com/estsaon/parallel-programming-in-c-with-mpi-and-openmp.git,10,-5308015,5a7ee050c9bdd05578ad6f4663f8e9aca1444dbb,,RS,autofail.sh,,,Autobuild,Fail,
5147,dusanerdeljan/tensor-math-library,C++,git,https://github.com/dusanerdeljan/tensor-math-library.git,10,-6468015,ba40bbbbb4ff2ec185beb6d9d3ac503a016e9dd5,,RS,autofail.sh,,,Autobuild,Fail,
8100,ye-luo/openmp-target,C++,git,https://github.com/ye-luo/openmp-target.git,9,3861985,96a926b67dd1a03f03e2bf9462e723aa91e8752f,,RS,default_cmake.sh,,FALSCH,Autobuild,Success,
3378,soumyasen1809/OpenMP_C_12_steps_to_Navier_Stokes,C,git,https://github.com/soumyasen1809/OpenMP_C_12_steps_to_Navier_Stokes.git,9,-7398015,8138e51a83b613472854fabb474fda1a9cdfdd06,,RS,autofail.sh,,,Autobuild,Fail,
180,torbjoernk/openMP-Examples,C++,git,https://github.com/torbjoernk/openMP-Examples.git,9,4982781,e3e9dc563ac6848fcc2b9de82a9e1d917bef7778,,RS,autofail.sh,,,Autobuild,Fail,
206,scotts/cellgen,C,git,https://github.com/scotts/cellgen.git,9,-957219,162f3b1ca03baead4e0d23a6a95a2163aa703f16,,RS,autofail.sh,,,Autobuild,Fail,
5125,LLNL/AutoParBench,C,git,https://github.com/LLNL/AutoParBench.git,9,-6408015,118a2c62e04aa269a37275aef66a326c5b214641,,RS,autofail.sh,,,Autobuild,Fail,
4181,nducthang/BFSParallel,C++,git,https://github.com/nducthang/BFSParallel.git,8,-10208015,18696a99bd784bad9a1349d78fd063db656e6b06,,RS,autofail.sh,,,Autobuild,Fail,
2883,ddemidov/fortran_amg_omp_ocl,C++,git,https://github.com/ddemidov/fortran_amg_omp_ocl.git,8,8332383,9213b93ac4bb303826a5900bb356cede6b282104,,RS,autofail.sh,,,Autobuild,Fail,
4173,UP-RS-ESP/CorrCoef,C,git,https://github.com/UP-RS-ESP/CorrCoef.git,8,-10188015,69263e1e73a3daaa85c5b17f8f9f0019498b3492,,RS,autofail.sh,,,Autobuild,Fail,
5517,SOLLVE/benchmarks,C,git,https://github.com/SOLLVE/benchmarks.git,8,-828015,f53b7f5de89e088e83eb202aac7f9277f8ea5297,,RS,autofail.sh,,,Autobuild,Fail,
2010,PAC-P2P/BPNN-Face-Recognition-For-Parallel,C,git,https://github.com/PAC-P2P/BPNN-Face-Recognition-For-Parallel.git,8,2962383,db96a39a5da0755bb9f7221dc814813f27d22464,,RS,autofail.sh,,,Autobuild,Fail,
93,jedivind/barriersync,C,git,https://github.com/jedivind/barriersync.git,8,9342781,ccb18d01f52be0334ec22b1e820edb8777f3f610,,RS,autofail.sh,,,Autobuild,Fail,
1208,ihameed/openmpt,C,git,https://github.com/ihameed/openmpt.git,8,-9447617,14d278cbe77f9ea6b785b64bee4fd13ada4cb2cf,,RS,autofail.sh,,,Autobuild,Fail,
1963,LucaLovagnini/parallelHesaff,C++,git,https://github.com/LucaLovagnini/parallelHesaff.git,7,3352383,f025e26c42cdfa1ed5741af41cba2ef77391584f,,RS,autofail.sh,,,Autobuild,Fail,
7271,learning-process/parallel_programming_course,C++,git,https://github.com/learning-process/parallel_programming_course.git,7,6101985,ea19627776fed3542a543ba9ebf5b7a08257588d,,RS,autofail.sh,,,Autobuild,Fail,
401,rpandya1990/Parallel-N-Body-Problem,C,git,https://github.com/rpandya1990/Parallel-N-Body-Problem.git,7,08.06.3850,7e7d200eddcad57dddb676d7ad583d9226260692,,RS,autofail.sh,,,Autobuild,Fail,
5412,sara-nl/prace_jacobi,C++,git,https://github.com/sara-nl/prace_jacobi.git,7,-538015,ff6e0cf2d962d06354b5d14f2c0b3421abb69cb6,,RS,autofail.sh,,,Autobuild,Fail,
5817,cspiegel/audacious-openmpt,C++,git,https://github.com/cspiegel/audacious-openmpt.git,7,-1798015,08c5773808937cf854701a78f7e92c7778f3e248,,RS,autofail.sh,,,Autobuild,Fail,
7433,HydroCouple/HydroCouple,C++,git,https://github.com/HydroCouple/HydroCouple.git,7,5791985,92676a884690ac59dba717ef3f09597702e52bf3,,RS,default_cmake.sh,,FALSCH,Autobuild,Success,
2532,joaomlneto/cpds-heat,C,git,https://github.com/joaomlneto/cpds-heat.git,7,9602383,10e1c42719438bf2aadd18d62dad64f9749aa3c5,,RS,autofail.sh,,,Autobuild,Fail,
2528,stbrumme/eratosthenes,C++,git,https://github.com/stbrumme/eratosthenes.git,7,9612383,e3886a7f1f1510b571beb80f086e1a2aaf47f037,,RS,autofail.sh,,,Autobuild,Fail,
6458,rzambre/bspmm,C,git,https://github.com/rzambre/bspmm.git,7,26.05.9270,305feb08e28c1474b8a0e491982a124d04487355,,RS,autofail.sh,,,Autobuild,Fail,
4323,HxnDev/Consensus-Problem-using-OpenMP,C++,git,https://github.com/HxnDev/Consensus-Problem-using-OpenMP.git,7,-3638015,4a66df9a679d199caad8f03e803a0e0d905ea821,,RS,autofail.sh,,,Autobuild,Fail,
818,ashwinipokle/dimensionality-reduction,C++,git,https://github.com/ashwinipokle/dimensionality-reduction.git,7,-3177617,9bb07bf1aa160ff3aef741fb6dae30780d383486,,RS,autofail.sh,,,Autobuild,Fail,
5981,joeladams/patternlets,C++,git,https://github.com/joeladams/patternlets.git,6,-2338015,d9f4b9d1281c46b650189cee217ab2a8e098c548,,RS,autofail.sh,,,Autobuild,Fail,
4132,sahmad98/vstring,C++,git,https://github.com/sahmad98/vstring.git,6,-10038015,1348a95d3df7b3d4311fc548051f800628560b31,,RS,autofail.sh,,,Autobuild,Fail,
3579,colleeneb/openmp_offload_and_blas,C,git,https://github.com/colleeneb/openmp_offload_and_blas.git,6,-8048015,4ac2ed4da5739faabcdfa0ede6aed30ef76a920a,,RS,autofail.sh,,,Autobuild,Fail,
258,kckishan/Floyd-Warshall-algorithm-OpenMP,C,git,https://github.com/kckishan/Floyd-Warshall-algorithm-OpenMP.git,6,28.10.6478,3f8d015243af971f304a071295e5a3454150cf1e,,RS,autofail.sh,,,Autobuild,Fail,
6948,Timo-Schrader/OpenCL-N-Body-Simulation,C++,git,https://github.com/Timo-Schrader/OpenCL-N-Body-Simulation.git,6,28.07.5382,d2f3fdd376dbd10a0606a605eb4a97cb981c34f1,,RS,autofail.sh,,,Autobuild,Fail,
2414,markjolah/Mappel,C++,git,https://github.com/markjolah/Mappel.git,6,9962383,c8af526855077691514aab3f7c099dc90468e455,,RS,autofail.sh,,,Autobuild,Fail,
4544,GustavoSilvera/FourierDraw,C++,git,https://github.com/GustavoSilvera/FourierDraw.git,6,-4508015,518f7ec99dea5e812b82f866b5d3766613f693dd,,RS,default_cmake.sh,,FALSCH,Autobuild,Success,
7239,ikozyris/yocto,C++,git,https://github.com/ikozyris/yocto.git,6,6141985,bcfb3a15c3c1c3847be80d180d5857d3debb67d4,,RS,autofail.sh,,,Autobuild,Fail,
938,dmitrydonchenko/Block-Matrix-Multiplication-OpenMP,C++,git,https://github.com/dmitrydonchenko/Block-Matrix-Multiplication-OpenMP.git,6,-4867617,ccb99423a47e53c1de4d811e2c55f17a79bc0286,,RS,autofail.sh,,,Autobuild,Fail,
6707,Pmoonesi/multicore-processing-fcnn,C,git,https://github.com/Pmoonesi/multicore-processing-fcnn.git,6,20.12.7216,311aba125f566a01bcbeb33119bcb53420a1cb45,,RS,autofail.sh,,,Autobuild,Fail,
5097,Shivanshu-Gupta/Parallel-Sudoku-Solver,C,git,https://github.com/Shivanshu-Gupta/Parallel-Sudoku-Solver.git,6,-6298015,340bb5a26ddbb09795d1168e18b696ec1a1233e1,,RS,autofail.sh,,,Autobuild,Fail,
4226,fmorenovr/ComputerScience_UCSP,C++,git,https://github.com/fmorenovr/ComputerScience_UCSP.git,6,-3138015,9412e0a72a411d17cc054bb792be16193356fdaa,,RS,autofail.sh,,,Autobuild,Fail,
7412,puzzlef/leiden-communities-openmp,C++,git,https://github.com/puzzlef/leiden-communities-openmp.git,5,5881985,095cddf4e211970dca61b6f36906836523eebe65,,RS,autofail.sh,,,Autobuild,Fail,
1013,abhishek4747/openmp-sort,C++,git,https://github.com/abhishek4747/openmp-sort.git,5,-5767617,3a65b7c9a00629d3c2ecd2e3588fbadbe9ef4533,,RS,default_make.sh,,FALSCH,Autobuild,Success,
6744,passlab/ompparser,C++,git,https://github.com/passlab/ompparser.git,5,20.10.6915,7f4126101e38bf726a2e68e5c8a0a2c31c8015a5,,RS,default_cmake.sh,,FALSCH,Autobuild,Success,
2469,minar09/parallel-computing,C,git,https://github.com/minar09/parallel-computing.git,5,9802383,658f8adbc6920ac7e368e68034a2ebf035d56737,,RS,autofail.sh,,,Autobuild,Fail,
6641,abhi4578/Parallelization-of-PSO,C,git,https://github.com/abhi4578/Parallelization-of-PSO.git,5,20.07.7764,99a72d2fda7c71e4c28aeaffa3f3ca7ba9dab33d,,RS,autofail.sh,,,Autobuild,Fail,
2745,BrutPitt/PerlinNoise4D,C,git,https://github.com/BrutPitt/PerlinNoise4D.git,5,8912383,cb79861ddb8a03bab2f7601b98c46e91fdc7d151,,RS,autofail.sh,,,Autobuild,Fail,
1943,jefflarkin/GTC16-S6510,C,git,https://github.com/jefflarkin/GTC16-S6510.git,5,3512383,b2e3ad19f9a0c567e7d5f5952e007f0be58b5ab5,,RS,autofail.sh,,,Autobuild,Fail,
7104,KonstantinosKr/delta,C++,git,https://github.com/KonstantinosKr/delta.git,5,06.05.3849,ed650a59b8723f4aa2d145ef2accc885414d1261,,RS,autofail.sh,,,Autobuild,Fail,
2361,Ligh7bringer/Nbody-parallel,C++,git,https://github.com/Ligh7bringer/Nbody-parallel.git,5,10282383,59a376939b2b6c289ca90c5e21c1916a3261fd01,,RS,autofail.sh,,,Autobuild,Fail,
54,evanpurkhiser/CS-OpenMPExperiments,C,git,https://github.com/evanpurkhiser/CS-OpenMPExperiments.git,5,10582781,3b873f6e229e687d34a65bf2692037c81bd50f59,,RS,autofail.sh,,,Autobuild,Fail,
4461,buraksekili/Sinkhorn-Knopp-scaling,C++,git,https://github.com/buraksekili/Sinkhorn-Knopp-scaling.git,5,-4238015,dd102c4a75076da30eeaed7f7fa1eb86a68d5d39,,RS,autofail.sh,,,Autobuild,Fail,
5520,adamtuft/otter,C,git,https://github.com/adamtuft/otter.git,5,-838015,6b1d60546bd4ca7defd90432ce575bb4f8884199,,RS,autofail.sh,,,Autobuild,Fail,
4136,pulp-platform/pulp-libgomp,C,git,https://github.com/pulp-platform/pulp-libgomp.git,5,-10068015,421fe1754df6b75d803475c0efa14c85cf01b4da,,RS,autofail.sh,,,Autobuild,Fail,
5323,penzn/omp-wasi-parallel,C,git,https://github.com/penzn/omp-wasi-parallel.git,5,-218015,affc34c835010cc5b44ba2b50d547bf75113830c,,RS,autofail.sh,,,Autobuild,Fail,
5853,jinaojakezhang/FEDFEMBioheat,C++,git,https://github.com/jinaojakezhang/FEDFEMBioheat.git,5,-1938015,babc5eb058f4ff670fc988e63db8bd3847787b4a,,RS,autofail.sh,,,Autobuild,Fail,
3379,USCbiostats/r-parallel-benchmark,C++,git,https://github.com/USCbiostats/r-parallel-benchmark.git,5,-7408015,4822aefd0db634990f6a767b59ffd40018b58bc7,,RS,autofail.sh,,,Autobuild,Fail,
2938,austin880625/Levelset-Fluid-Sim,C++,git,https://github.com/austin880625/Levelset-Fluid-Sim.git,5,8102383,f75e81fafe79248a94890334870ca6e84b01fe3e,,RS,autofail.sh,,,Autobuild,Fail,
2381,Tecnarca/CPU-GPU-speed-comparison,C++,git,https://github.com/Tecnarca/CPU-GPU-speed-comparison.git,4,10142383,87d6b21e348aa290958ca530d39b1f11c0d854e6,,RS,autofail.sh,,,Autobuild,Fail,
5234,AndreasKaratzas/neural-network,C++,git,https://github.com/AndreasKaratzas/neural-network.git,4,16.11.2370,8e9af3ef24a3604384ed9534a6cef262d00adacb,,RS,default_make.sh,,FALSCH,Autobuild,Success,
