,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
116,yonutix/Settlers-economy-OpenMP-,C++,git,https://github.com/yonutix/Settlers-economy-OpenMP-.git,0,8522781,,,
117,ozancaglayan/openmpi-scripts,C,git,https://github.com/ozancaglayan/openmpi-scripts.git,0,8502781,,,
118,isutanto/OpenMPtsp,C,git,https://github.com/isutanto/OpenMPtsp.git,0,8492781,,,
119,isutanto/OpenMPsort,C,git,https://github.com/isutanto/OpenMPsort.git,0,8492781,,,
120,aosm/openmpi,C,git,https://github.com/aosm/openmpi.git,0,8442781,,,
121,jgebbie/example_mpi_and_openmp,C,git,https://github.com/jgebbie/example_mpi_and_openmp.git,0,8392781,,,
122,dbish/pc-means,C,git,https://github.com/dbish/pc-means.git,1,8372781,,,
123,inian/openmpi_basketball,C,git,https://github.com/inian/openmpi_basketball.git,0,8322781,,,
124,elf11/Parallel-Processing,C,git,https://github.com/elf11/Parallel-Processing.git,0,8322781,,,
125,delaman/openMPI,C,git,https://github.com/delaman/openMPI.git,0,8202781,,,
126,victor-fdez/barriers,C++,git,https://github.com/victor-fdez/barriers.git,0,8152781,,,
127,colt415/ParallelAlgos,C++,git,https://github.com/colt415/ParallelAlgos.git,0,8122781,,,
128,Rafael-Ribeiro/photonmapper,C++,git,https://github.com/Rafael-Ribeiro/photonmapper.git,0,8112781,,,
129,victoraldecoa/N-Queens-Solver_OpenMP_Example,C,git,https://github.com/victoraldecoa/N-Queens-Solver_OpenMP_Example.git,3,8112781,,,
130,daudich/RBOpenMP,C,git,https://github.com/daudich/RBOpenMP.git,0,7962781,,,
131,jpaton/graph-ga,C,git,https://github.com/jpaton/graph-ga.git,0,7932781,,,
132,pabarcgar/pruebasOmp,C,git,https://github.com/pabarcgar/pruebasOmp.git,0,7922781,,,
133,olierxleben/OpenMP_parallelization,C++,git,https://github.com/olierxleben/OpenMP_parallelization.git,0,7912781,,,
134,qazwse/RedBlueOpenMP,C,git,https://github.com/qazwse/RedBlueOpenMP.git,0,7852781,,,
135,wilmerhenao/Poisson-OpenMP,C,git,https://github.com/wilmerhenao/Poisson-OpenMP.git,2,7792781,,,
136,brcooley/cs654,C,git,https://github.com/brcooley/cs654.git,1,7772781,,,
137,jaredhoberock/omp_parallel_invoke,C++,git,https://github.com/jaredhoberock/omp_parallel_invoke.git,2,7742781,,,
138,micmax93/ParallelPatternMatching,C++,git,https://github.com/micmax93/ParallelPatternMatching.git,1,7732781,,,
139,firebird00/openmp,C,git,https://github.com/firebird00/openmp.git,0,7712781,,,
140,n3nash/Parallel-travellingsalesman,C,git,https://github.com/n3nash/Parallel-travellingsalesman.git,0,7612781,,,
141,mattm401/pDAMGES,C,git,https://github.com/mattm401/pDAMGES.git,2,7432781,,,
142,apawloski/miniMD-omp,C++,git,https://github.com/apawloski/miniMD-omp.git,1,7372781,,,
143,Ricordel/parallel-sobel,C,git,https://github.com/Ricordel/parallel-sobel.git,0,7352781,,,
144,andreyskv/dcraw-dcb-openmp,C,git,https://github.com/andreyskv/dcraw-dcb-openmp.git,0,7312781,,,
145,cwhelchel/omp_to_ocl,C,git,https://github.com/cwhelchel/omp_to_ocl.git,2,7282781,,,
146,kostrzewa/openmp_tests,C,git,https://github.com/kostrzewa/openmp_tests.git,0,7272781,,,
147,xiaodao90/wrapper,C,git,https://github.com/xiaodao90/wrapper.git,0,7262781,,,
148,vellvisher/openmpi-basketball,C,git,https://github.com/vellvisher/openmpi-basketball.git,0,7222781,,,
149,tfritzon/omptest,C,git,https://github.com/tfritzon/omptest.git,0,7152781,,,
150,adnanfanaswala/OpenMP,C++,git,https://github.com/adnanfanaswala/OpenMP.git,1,7102781,,,
151,CrossPlatformGDevFHHGB/SimpleOpenMP,C++,git,https://github.com/CrossPlatformGDevFHHGB/SimpleOpenMP.git,0,7092781,,,
152,k21226/omptst,C++,git,https://github.com/k21226/omptst.git,0,7092781,,,
153,nils-wisiol/gameoflife-openmpi,C++,git,https://github.com/nils-wisiol/gameoflife-openmpi.git,0,7082781,,,
154,nils-wisiol/gameoflife-openmp,C++,git,https://github.com/nils-wisiol/gameoflife-openmp.git,0,7072781,,,
155,berezhko/openmp,C,git,https://github.com/berezhko/openmp.git,0,6972781,,,
156,dmitrime/pagerank-omp,C++,git,https://github.com/dmitrime/pagerank-omp.git,1,6882781,,,
157,xflouris/gapmis-omp,C,git,https://github.com/xflouris/gapmis-omp.git,0,6862781,,,
158,hpc/matmult-toy,C,git,https://github.com/hpc/matmult-toy.git,0,6672781,,,
159,cwhelchel/ocl_tiny,C,git,https://github.com/cwhelchel/ocl_tiny.git,0,6662781,,,
160,utahwithak/Mandlebrot-MPI-openmp,C++,git,https://github.com/utahwithak/Mandlebrot-MPI-openmp.git,0,6652781,,,
161,Bioinfo-Tools/MPI-blastp,C,git,https://github.com/Bioinfo-Tools/MPI-blastp.git,0,6632781,,,
162,lyarbean/RcppKmeans,C++,git,https://github.com/lyarbean/RcppKmeans.git,0,6632781,,,
163,freelancejounin/mandelbrot-parallel,C,git,https://github.com/freelancejounin/mandelbrot-parallel.git,0,6592781,,,
164,daperador/Ejemplos-OpenMP,C++,git,https://github.com/daperador/Ejemplos-OpenMP.git,0,6582781,,,
165,skrieder/openMP,C,git,https://github.com/skrieder/openMP.git,0,6572781,,,
166,msslaughter/gaussian,C,git,https://github.com/msslaughter/gaussian.git,1,6512781,,,
167,sphurti/Laserchess,C++,git,https://github.com/sphurti/Laserchess.git,0,6432781,,,
168,ovalerio/omp_confab,C,git,https://github.com/ovalerio/omp_confab.git,0,6272781,,,
169,dryman/NPB-CG-benchmark,C,git,https://github.com/dryman/NPB-CG-benchmark.git,0,6172781,,,
170,geexie/parallel-radix,C++,git,https://github.com/geexie/parallel-radix.git,1,6132781,,,
171,mapa17/teacup,C,git,https://github.com/mapa17/teacup.git,1,6032781,,,
172,kraihn/matrix-transposition-openmpi,C++,git,https://github.com/kraihn/matrix-transposition-openmpi.git,2,5972781,,,
173,architkarandikar/OpenMP-Testing,C++,git,https://github.com/architkarandikar/OpenMP-Testing.git,1,5912781,,,
174,architkarandikar/OpenMP-Tutorial,C,git,https://github.com/architkarandikar/OpenMP-Tutorial.git,1,5912781,,,
175,cwhelchel/ocl_tests,C++,git,https://github.com/cwhelchel/ocl_tests.git,0,5892781,,,
176,robeastham/png-parallel,C++,git,https://github.com/robeastham/png-parallel.git,12,5792781,,,
177,kyleniemeyer/2012-04_Stanford_CME213,C++,git,https://github.com/kyleniemeyer/2012-04_Stanford_CME213.git,1,5572781,,,
178,sroyuela/rose,C,git,https://github.com/sroyuela/rose.git,1,5142781,,,
179,M-funk/devPuzzles,C,git,https://github.com/M-funk/devPuzzles.git,1,5102781,,,
180,torbjoernk/openMP-Examples,C++,git,https://github.com/torbjoernk/openMP-Examples.git,9,4982781,,,
181,dgquintas/libmpplas,C++,git,https://github.com/dgquintas/libmpplas.git,3,4932781,,,
182,hpc/cce-mpi-openmpi-1.4.4,C,git,https://github.com/hpc/cce-mpi-openmpi-1.4.4.git,0,4682781,,,
183,hpc/cce-mpi-openmpi-1.4.3,C,git,https://github.com/hpc/cce-mpi-openmpi-1.4.3.git,0,4682781,,,
