,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
81.0,maxhutch/homb,C,git,https://github.com/maxhutch/homb.git,3.0,9742781,,,
74.0,Matt-st/Parallel_shell_sort,C++,git,https://github.com/Matt-st/Parallel_shell_sort.git,3.0,10012781,,,
68.0,ppwwyyxx/Mandelbrot-Set,C++,git,https://github.com/ppwwyyxx/Mandelbrot-Set.git,3.0,10272781,,,
4901.0,facuMH/HeisenbergModel,C++,git,https://github.com/facuMH/HeisenbergModel.git,3.0,-5718015,,,
4548.0,GustavoSilvera/ParallelBoids,C++,git,https://github.com/GustavoSilvera/ParallelBoids.git,3.0,-4518015,,,
949.0,vmykh/parallel_computing_PDE,C,git,https://github.com/vmykh/parallel_computing_PDE.git,3.0,-5017617,,,
958.0,edanssandes/MASA-OpenMP,C++,git,https://github.com/edanssandes/MASA-OpenMP.git,3.0,-5107617,,,
4329.0,adammaj1/Mandelbrot-set-with-blended-gradients,C,git,https://github.com/adammaj1/Mandelbrot-set-with-blended-gradients.git,3.0,-3658015,,,
759.0,EPCCed/adept-kernel-openmp,C,git,https://github.com/EPCCed/adept-kernel-openmp.git,3.0,-2657617,,,
205.0,mpedrero/aesth,C++,git,https://github.com/mpedrero/aesth.git,3.0,-887219,,,
3863.0,soumyasen1809/Introduction_To_OpenMP,C,git,https://github.com/soumyasen1809/Introduction_To_OpenMP.git,3.0,-9078015,,,
192.0,marcotinacci/image-clustering,C++,git,https://github.com/marcotinacci/image-clustering.git,3.0,3152781,,,
5308.0,GauravJain28/Parallelized-and-Distributed-HNSW-Algorithm,C++,git,https://github.com/GauravJain28/Parallelized-and-Distributed-HNSW-Algorithm.git,3.0,15.02.1522,,,
3995.0,Davide95/mandelbrot-CUCL,C++,git,https://github.com/Davide95/mandelbrot-CUCL.git,3.0,-9648015,,,
129.0,victoraldecoa/N-Queens-Solver_OpenMP_Example,C,git,https://github.com/victoraldecoa/N-Queens-Solver_OpenMP_Example.git,3.0,8112781,,,
3591.0,devreal/cholesky_omptasks,C,git,https://github.com/devreal/cholesky_omptasks.git,3.0,-8078015,,,
521.0,li12242/AdvectionDiffusionSolver_FDM,C,git,https://github.com/li12242/AdvectionDiffusionSolver_FDM.git,3.0,04.03.2098,,,
2201.0,TuitaTeam/Knapsack-OpenMP,C++,git,https://github.com/TuitaTeam/Knapsack-OpenMP.git,3.0,06.09.7190,,,
6082.0,kunaltulsidasani/Parallel-Face-Detection-OpenMP,C,git,https://github.com/kunaltulsidasani/Parallel-Face-Detection-OpenMP.git,3.0,-2558015,,,
5701.0,Kingtous/OmpTG,C,git,https://github.com/Kingtous/OmpTG.git,3.0,-1338015,,,
7789.0,trrt-good/NeuralNetworks.c,C,git,https://github.com/trrt-good/NeuralNetworks.c.git,3.0,4841985,,,
3405.0,saurabh077/Performance-Analysis-of-Parallel-Image-Processing-Operations,C,git,https://github.com/saurabh077/Performance-Analysis-of-Parallel-Image-Processing-Operations.git,3.0,-7518015,,,
2559.0,ahalyasanjiv/Parallel-Programming-LTDP,C,git,https://github.com/ahalyasanjiv/Parallel-Programming-LTDP.git,3.0,9512383,,,
3418.0,cyberquill/Bonescan-Enhancer,C++,git,https://github.com/cyberquill/Bonescan-Enhancer.git,3.0,-7558015,,,
2760.0,PhillBenoit/OpenMPI-hello-cluster,C,git,https://github.com/PhillBenoit/OpenMPI-hello-cluster.git,3.0,8862383,,,
357.0,banjarashalin/FluidSimulationSolver,C++,git,https://github.com/banjarashalin/FluidSimulationSolver.git,3.0,17.06.4863,,,
2265.0,brunosegiu/PhotonMapping,C++,git,https://github.com/brunosegiu/PhotonMapping.git,3.0,-10618015,,,
6421.0,NOhs/affine_transform_nd,C++,git,https://github.com/NOhs/affine_transform_nd.git,3.0,07.06.9489,,,
2009.0,Vini2/ParallelMatrixMultiplicationUsingOpenMP,C++,git,https://github.com/Vini2/ParallelMatrixMultiplicationUsingOpenMP.git,3.0,2962383,,,
2580.0,dhawal777/Handwritten-Digit-Recoganization-by-ANN-in-openmp,C,git,https://github.com/dhawal777/Handwritten-Digit-Recoganization-by-ANN-in-openmp.git,3.0,9462383,,,
6750.0,xyproto/spheremover,C++,git,https://github.com/xyproto/spheremover.git,3.0,15.01.6861,,,
2632.0,v-pap/Game-of-Life-in-parallel-MPI-OpenMP-CUDA,C,git,https://github.com/v-pap/Game-of-Life-in-parallel-MPI-OpenMP-CUDA.git,3.0,9322383,,,
3341.0,AndreiCNitu/HPC,C,git,https://github.com/AndreiCNitu/HPC.git,3.0,-7208015,,,
6186.0,nadezhdagub/OpenMP-MPI,C++,git,https://github.com/nadezhdagub/OpenMP-MPI.git,3.0,-2938015,,,
4370.0,jhuber6/ompBLAS,C++,git,https://github.com/jhuber6/ompBLAS.git,2.0,-3828015,,,
1229.0,ruteee/Kohhonen,C++,git,https://github.com/ruteee/Kohhonen.git,2.0,6742383,,,
1329.0,stefashkaa/DistributedBlockSort,C++,git,https://github.com/stefashkaa/DistributedBlockSort.git,2.0,6172383,,,
4206.0,Adaickalavan/OpenMP-Tim-Mattson,C,git,https://github.com/Adaickalavan/OpenMP-Tim-Mattson.git,2.0,-10298015,,,
5943.0,YJHMITWEB/HPC-on-matrix,C++,git,https://github.com/YJHMITWEB/HPC-on-matrix.git,2.0,-2218015,,,
2527.0,propgraph/pgm,C++,git,https://github.com/propgraph/pgm.git,2.0,9612383,,,
4321.0,dogunter/omp_overhead,C,git,https://github.com/dogunter/omp_overhead.git,2.0,-3638015,,,
2548.0,AMShek/Canny-SIMD,C,git,https://github.com/AMShek/Canny-SIMD.git,2.0,9552383,,,
1268.0,ivotron/docker-openmpi,C,git,https://github.com/ivotron/docker-openmpi.git,2.0,6512383,,,
1172.0,michal3141/openmp,C,git,https://github.com/michal3141/openmp.git,2.0,-8807617,,,
2963.0,tidjungs/01204434-Parallel,C,git,https://github.com/tidjungs/01204434-Parallel.git,2.0,7982383,,,
7455.0,xxyux/Distributed-SpMV,C,git,https://github.com/xxyux/Distributed-SpMV.git,2.0,5731985,,,
2800.0,MaximeRoux/PROJET_HPCA,C++,git,https://github.com/MaximeRoux/PROJET_HPCA.git,2.0,8652383,,,
6183.0,tarcisiodarocha/ExemplosOpenMP,C,git,https://github.com/tarcisiodarocha/ExemplosOpenMP.git,2.0,-2928015,,,
1040.0,sdruix/OMP2HMPP,C++,git,https://github.com/sdruix/OMP2HMPP.git,2.0,-6137617,,,
2898.0,Nshul/High_Performance_Computing,C++,git,https://github.com/Nshul/High_Performance_Computing.git,2.0,8272383,,,
2886.0,Macoron/ParticleSimulation,C++,git,https://github.com/Macoron/ParticleSimulation.git,2.0,8322383,,,
