,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert,use_cmake,DEFAULT_CMAKE_BUILDABLE
7821.0,lazzati-astro/MCRaT,C,git,https://github.com/lazzati-astro/MCRaT.git,5.0,4771985,24385cf1a7350ad325101b9cd0944af7c571b674,,,False,False
2267.0,olcf-tutorials/openmp_offloading,C++,git,https://github.com/olcf-tutorials/openmp_offloading.git,5.0,-10628015,1ce419138301c34af8d1d2c79d2c9c5c3d6ab0d4,,,False,False
2171.0,Seretsi/Pencil_Rigger,C++,git,https://github.com/Seretsi/Pencil_Rigger.git,5.0,29.09.7628,e6fd2a1c3b5fe5337b7457f077fc757d5a7dc059,,,False,False
2626.0,ctomacheski/openmp-flisol,C++,git,https://github.com/ctomacheski/openmp-flisol.git,5.0,9352383,8410f77f544f30c00d27b8cac42425ac2548f8b1,,,False,False
7059.0,jpuigcerver/nnutils,C++,git,https://github.com/jpuigcerver/nnutils.git,5.0,19.07.4369,d3f6aaf58467623a6b808a13e178f5b001b209f4,,,True,True
786.0,leiyucs/Barrier-Synchronization,C,git,https://github.com/leiyucs/Barrier-Synchronization.git,5.0,-2907617,d233baf48c2daeed695b599507c746ccc161bde0,,,False,False
4186.0,sassanin/ParMooN,C,git,https://github.com/sassanin/ParMooN.git,5.0,-10228015,b156ec9f885e16b5bff06ad6c36f546c2ac9be96,,,True,False
4469.0,maitreyeepaliwal/Solving-System-of-linear-equations-in-parallel-and-serial,C,git,https://github.com/maitreyeepaliwal/Solving-System-of-linear-equations-in-parallel-and-serial.git,5.0,-4268015,8de5b909d30c461fe92d036b29d84b93145b854f,,,False,False
5969.0,mangoeffect/learn-openmp,C++,git,https://github.com/mangoeffect/learn-openmp.git,5.0,-2308015,ae738c05d8e186a303e413c899b02c4226389603,,,False,False
4179.0,agarwal-ayushi/Parallel-Matrix-Vector-Multiplication,C++,git,https://github.com/agarwal-ayushi/Parallel-Matrix-Vector-Multiplication.git,5.0,-10208015,0c92d7a27cf4c3d5a2285b752df35d399b2769fe,,,False,False
4057.0,GlenGGG/FastParallelMergeSort,C,git,https://github.com/GlenGGG/FastParallelMergeSort.git,5.0,-9778015,6676c08ea9c637ae48a857194373c3de545100b5,,,False,False
188.0,kallus/Lattice-gas-automata,C,git,https://github.com/kallus/Lattice-gas-automata.git,5.0,4092781,e2d5c60a6cb8431752d5703e8881587a72cd38b9,,,False,False
8002.0,warwick-hpsc/MG-CFD-app-OP2,C++,git,https://github.com/warwick-hpsc/MG-CFD-app-OP2.git,5.0,5481985,304e12205e9dab21d2b3adc2f3c15ac0a696b5cd,,,False,False
4719.0,BlackApple-LMZ/orb_extractor_with_openmp,C++,git,https://github.com/BlackApple-LMZ/orb_extractor_with_openmp.git,5.0,-5088015,18c40cba5ac7cfe28dcb711b228d110f52965937,,,False,False
1697.0,jeffamstutz/CPW,C++,git,https://github.com/jeffamstutz/CPW.git,4.0,4682383,0f703b2d969f13a1fb50f758b0d7b6c2b98fac6b,,,True,False
